ExhibitionTitle,Date,ExhibitionURL,DisplayName,Nationality,ConstituentBeginDate,ConstituentEndDate,Gender,ConstituentURL
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Oskar Kokoschka,Austrian,1886,1980,Male,moma.org/artists/3197
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Yasuo Kuniyoshi,American,1889,1953,Male,moma.org/artists/3296
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Gaston Lachaise,American,1882,1935,Male,moma.org/artists/3332
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Wifredo Lam,Cuban,1902,1982,Male,moma.org/artists/3349
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Robert MacBryde,British,1913,1966,Male,moma.org/artists/3660
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,John Marin,American,1870,1953,Male,moma.org/artists/3770
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Marino Marini,Italian,1901,1980,Male,moma.org/artists/3772
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Knud Merrild,American,1894,1954,Male,moma.org/artists/3937
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Guillermo Meza,Mexican,1917,1997,Male,moma.org/artists/3960
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Amedeo Modigliani,Italian,1884,1920,Male,moma.org/artists/4038
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Elie Nadelman,American,1882,1946,Male,moma.org/artists/4197
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Reuben Nakian,American,1897,1986,Male,moma.org/artists/4218
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Ben Nicholson,British,1894,1982,Male,moma.org/artists/4293
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Emil Nolde,German,1867,1956,Male,moma.org/artists/4327
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Georgia O'Keeffe,American,1887,1986,Female,moma.org/artists/4360
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,José Clemente Orozco,Mexican,1883,1949,Male,moma.org/artists/4430
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Pablo Picasso,Spanish,1881,1973,Male,moma.org/artists/4609
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Alton Pickens,American,1917,1991,Male,moma.org/artists/4613
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Fidelio Ponce de León,Cuban,1896,1949,Male,moma.org/artists/4681
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Cândido Portinari,Brazilian,1903,1962,Male,moma.org/artists/4705
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Maurice Prendergast,American,1859,1924,Male,moma.org/artists/4727
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Georges Rouault,French,1871,1958,Male,moma.org/artists/5053
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Henri Rousseau,French,1844,1910,Male,moma.org/artists/5056
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Antonio Ruiz,Mexican,1897,1964,Male,moma.org/artists/5078
Painting and Sculpture from the Museum Collection,1950,moma.org/calendar/exhibitions/2868,Oskar Schlemmer,German,1888,1943,Male,moma.org/artists/5219
